영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액
B급 청춘,민채연,한국,2021-06-16,드라마,,
소리에 놀라지 않는 사자처럼,윤성준,한국,2021-05-19,다큐멘터리,,
아야와 마녀,미야자키 고로,일본,2021-06-10,애니메이션,19838.0,170931820.0
#위왓치유,"바르보라 차르포바, 비트 클루삭",기타,2021-06-03,다큐멘터리,,
파리의 별빛 아래,클로스 드렉셀,프랑스,2021-05-05,드라마,,
고백,서은영,한국,2021-02-24,드라마,30453.0,215937000.0
안티고네,소피 드라스프,캐나다,2020-11-19,드라마,,
나를 구하지 마세요,정연경,한국,2020-09-10,드라마,,
증발,김성민,한국,2020-11-12,다큐멘터리,,
캐시트럭,가이 리치,미국,2021-06-09,액션,226334.0,2151247250.0
실크 로드,,미국,2021-06-09,범죄,,
프로페서 앤 매드맨,P.B. 셰므란,미국,2021-06-02,드라마,13103.0,114062350.0
분노의 질주: 더 얼티메이트,저스틴 린,미국,2021-05-19,액션,2276213.0,21935002320.0
컨저링3: 악마가 시켰다,마이클 차베즈,미국,2021-06-03,공포(호러),786498.0,7897268320.0
뱅드림! 로젤리아 에피소드Ⅰ: 약속,카키모토 코다이,일본,2021-06-03,애니메이션,12249.0,111842780.0
미스피츠,레니 할린,미국,2021-06-03,액션,,
크루엘라,크레이그 질레스피,미국,2021-05-26,드라마,1975467.0,19178509920.0
울지마 톤즈 2 : 슈크란 바바,강성옥,한국,2020-01-09,다큐멘터리,,
나의 먼 가족,"한소리, 이선영, 김경범, 오세희",한국,2021-04-01,기타,,
전주에서 길을 묻다,진승현,한국,2021-06-01,드라마,,
스페이스 시그널,,미국,2021-05-31,액션,,
밤빛,김무영,한국,2021-03-04,드라마,,
요요현상,고두현,한국,2021-01-14,다큐멘터리,,
킬버드,,캐나다,2021-05-28,스릴러,,
비와 당신의 이야기,조진모,한국,2021-04-28,드라마,398572.0,3634692350.0
초능력 에볼루션,존 라이드,미국,2021-05-31,SF,,
펜트하우스 쇼걸,에로핑,한국,2021-05-22,드라마,,
위험한 생방송,에로핑,한국,2021-05-22,드라마,,
소녀탈출,에로핑,한국,2021-05-22,드라마,,
새엄마의 무릎 사이,,일본,2021-05-20,드라마,,
특공황비2-무적의 적소검,,중국,2021-05-11,액션,,
보이저스,닐 버거,미국,2021-05-26,SF,19505.0,163586000.0
굴뚝마을의 푸펠,,일본,2021-05-26,애니메이션,20596.0,177406190.0
스프링 송,유준상,한국,2021-04-21,드라마,,
불어라 검풍아,조바른,한국,2021-04-08,액션,,
젊은이의 양지,신수원,한국,2020-10-28,드라마,,
구원,이창무,한국,2021-04-08,스릴러,,
시니어퀸 : 58년 개띠 여고동창생,김문옥,한국,2021-05-11,드라마,,
스파이: 타임 투 저스티스,데이브 맥 3세,미국,2021-05-24,액션,,
사일런스 앤드 다크니스,바락 바칸,미국,2021-05-24,공포(호러),,
애플,크리스토스 니코우,기타,2021-05-26,드라마,,
아르코 라이브 뮤지컬 인사이드 윌리엄,,한국,2021-05-26,공연,,
써니,오오네 히토시,일본,2021-05-26,드라마,,
메이헴,조 린치,미국,2021-04-08,액션,,
어른들은 몰라요,이환,한국,2021-04-15,드라마,26848.0,262079990.0
크루즈 패밀리: 뉴 에이지,조엘 크로포드,미국,2021-05-05,애니메이션,222562.0,1967506340.0
더스트맨,김나경,한국,2021-04-07,드라마,,
슈퍼노바,,영국,2021-05-12,드라마,,
쇼크 웨이브 2,구예도,중국,2021-05-20,액션,,
신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,김종해,한국,2021-05-22,공연,,
내일의 기억,서유민,한국,2021-04-21,미스터리,331619.0,3012481750.0
잘세우는 여친,최성은,한국,2021-05-19,드라마,,
은밀한 스캔들,최성은,한국,2021-05-17,드라마,,
비밀정사,최성은,한국,2021-05-17,드라마,,
브레이브 언더 파이어: 디 오리지널,,러시아,2021-05-05,액션,,
봉신전설,,중국,2021-05-06,액션,,
바꿔서 할까?,최성은,한국,2021-05-19,드라마,,
달콤한 스캔들,이로운,한국,2021-05-19,드라마,,
크라이시스,니콜라스 자렉키,독일,2021-05-20,드라마,,
무간귀도,,중국,2021-05-20,액션,,
푸드 몬스터,,중국,2021-05-19,애니메이션,,
도라에몽: 스탠바이미 2,야기 류이치,일본,2021-05-19,애니메이션,73540.0,641231110.0
구독좋아요알림설정,유진 코틀리야렌코,미국,2021-05-19,코미디,,
유공자,박상훈,한국,2021-03-01,드라마,,
아수라도,윤여창,한국,2021-03-18,액션,,
시 읽는 시간,이수정,한국,2021-03-25,다큐멘터리,,
링: 더 라스트 챕터,츠루타 노리오,중국,2021-05-12,미스터리,,
커피 오어 티,데렉 후이,중국,2021-03-31,코미디,,
"내 어깨 위 고양이, 밥 2",찰스 마틴 스미스,영국,2020-12-24,가족,,
라라의 신비한 모험,리스 오스볼,기타,2021-03-18,애니메이션,,
배드 헤어,저스틴 시미엔,미국,2021-05-05,공포(호러),,
암모나이트,,미국,2021-03-11,드라마,,
복면목사,워렌 P. 소노다,캐나다,2021-04-01,드라마,,
턴: 더 스트릿,임석진,한국,2021-03-31,드라마,,
키퍼스,,영국,2021-05-12,미스터리,,
파이터,윤재호,한국,2021-03-18,드라마,,
노가리,박민국,한국,2021-03-31,드라마,,
인천스텔라,백승기,한국,2021-03-25,SF,,
트웬티 해커,한현석,한국,2021-03-24,액션,,
홈런: 야구소년,,중국,2021-05-13,다큐멘터리,,
황무지 5월의 고해,김태영,한국,2020-10-28,드라마,,
스파이럴,대런 린 보우즈만,헝가리,2021-05-12,스릴러,128468.0,1274701180.0
미스,,프랑스,2021-05-12,코미디,,
더 스파이,도미닉 쿡,미국,2021-04-28,스릴러,303268.0,2801637740.0
그리고 방행자,손원경,한국,2021-03-11,다큐멘터리,,
더 박스,양정웅,한국,2021-03-24,드라마,117302.0,916554460.0
8년을 뛰어넘은 신부,제제 다카히사,일본,2021-05-07,가족,,
멀리가지마라,박현용,한국,2021-03-04,코미디,,
탐험왕 엘카노&마젤란: 위대한 첫 번째 항해,,스페인,2021-05-06,어드벤처,,
점보,,프랑스,2021-05-05,드라마,,
어쌔신 프리스트 벡맨,가브리엘 세블로프,미국,2021-05-05,액션,,
베르테르,조광하,한국,2021-05-05,뮤지컬,,
내가 죽기를 바라는 자들,테일러 쉐리던,미국,2021-05-05,범죄,43017.0,403217600.0
여의사 : 잘세움병원,최제승,한국,2021-05-04,드라마,,
피델리오,"다니엘 바렌보임, 데보라 워너",이탈리아,2021-05-01,공연,,
불륜은 바람을 타고 주렁주렁,아카바네 류지,일본,2021-04-15,드라마,,
워 히어로: 솔져 오브 갓,크리스토퍼 포브스,미국,2021-04-19,액션,,
오디션 : 너를 보여줘,에로핑,한국,2021-04-14,드라마,,
볼빨간 가정부,최성은,한국,2021-04-09,드라마,,
내게 찾아온 사랑,데이비드 볼트,미국,2021-04-07,드라마,,
바이킹: 블러드 워,유리 L. 슈바르츠,미국,2021-04-05,액션,,
작전 23,딜란 베이커,미국,2021-04-03,드라마,,
경성 81호 : 죽지 않는 집,전인호,홍콩,2021-04-02,스릴러,,
"영안실, 야간근무자",,기타,2021-04-01,공포(호러),,
미국대전쟁,크리스토퍼 포브스,미국,2021-04-29,서부극(웨스턴),,
마크맨,로버트 로렌즈,미국,2021-04-28,액션,15333.0,119439800.0
코드 기아스: 부활의 를르슈,타니구치 고로,일본,2021-04-28,애니메이션,,
베르나르다 알바,연태흠,한국,2021-04-28,공연,,
듄: 드리프터,,영국,2021-04-28,SF,,
극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,,영국,2021-04-28,애니메이션,11685.0,95537800.0
레 미제라블,,프랑스,2021-04-15,드라마,,
정사4-위험한 사랑,조애나 코츠,영국,2021-04-22,드라마,,
코스믹 씬,,미국,2021-04-22,SF,,
유다 그리고 블랙 메시아,,미국,2021-04-22,드라마,,
어처구니없는,,기타,2021-04-22,미스터리,,
섀도우 클라우드,,미국,2021-04-22,SF,,
억남,오오토모 케이시,일본,2021-04-21,드라마,,
노바디,일리야 나이슐러,미국,2021-04-07,액션,129310.0,1234615530.0
인싸,이수성,한국,2021-03-04,액션,,
코지 판 투테,,독일,2021-04-18,공연,,
IS 탈출,,기타,2021-04-15,액션,,
이 안에 외계인이 있다,최은종,한국,2021-02-03,코미디,,
더블패티,백승환,한국,2021-02-17,드라마,11267.0,98118780.0
타인의 친절,론 쉐르픽,영국,2021-04-07,드라마,6230.0,51915650.0
잃어버린 아이들,,기타,2021-04-08,기타,,
모리타니안,케빈 맥도널드,미국,2021-03-17,스릴러,39885.0,357552870.0
"사랑하고 사랑받고, 차고 차이고",,일본,2021-04-08,애니메이션,,
족벌 두 신문 이야기,"김용진, 박중석",한국,2021-01-01,다큐멘터리,,
아이카,,기타,2021-03-25,드라마,,
천녀유혼: 인간정,임진소,중국,2021-04-08,판타지,,
기생춘 감독판,김영희,한국,2021-04-09,코미디,,
더 파더,플로리안 젤러,영국,2021-04-07,드라마,29366.0,251666300.0
패트리어트,,미국,2021-04-08,액션,,
테이큰 하드체이싱,아이삭 플로렌틴,미국,2021-04-08,액션,,
모탈 컴뱃,,미국,2021-04-08,액션,29517.0,308460310.0
피넛 버터 팔콘,"타일러 닐슨, 마이클 슈왈츠",미국,2021-04-07,드라마,,
"킬링,",츠카모토 신야,일본,2021-04-07,드라마,,
아르코 라이브 무용 고요한 순환,,한국,2021-04-07,공연,,
리얼돌 : 섹스마네킹,손승민,한국,2021-04-05,드라마,,
카르멘,엠마 단테,이탈리아,2021-04-03,공연,,
초능력소년사건,채수응,중국,2020-05-28,드라마,,
소리꾼,조정래,한국,2020-07-01,사극,74724.0,609107640.0
로스트 걸 & 러브호텔,,미국,2021-03-24,드라마,,
동생의 여친을 탐하다,최성은,한국,2021-03-24,드라마,,
야쿠자의 딸: 벌컥벌컥 삼킨 물,나카지마 토모코,일본,2021-03-26,드라마,,
초대받은 배달부 무삭제판,이상수,한국,2021-03-18,기타,,
쓰리썸씽,,미국,2021-03-18,코미디,,
비밀 키스: 슈퍼스타 전 여친,나카지마 토모코,일본,2021-03-12,드라마,,
끝난 사람,,일본,2021-03-17,코미디,,
하드코어,야마시타 노부히로,일본,2021-03-18,코미디,,
아내의 몸으로 생계유지,,일본,2021-03-12,드라마,,
싱크로닉,"아론 무어헤드, 저스틴 벤슨",미국,2021-04-01,SF,,
리틀 조,예시카 하우스너,"오스트리아 ,영국,독일,프랑스",2021-04-01,드라마,,
BBC프롬스: 거슈윈 영화 음악 콘서트,,독일,2021-04-01,공연,,
콘플릭트:비열한 거래,후지와라 켄이치,일본,2021-03-31,액션,,
악녀의 악연,미야자카 타케시,일본,2021-03-31,스릴러,,
스파이의 아내,구로사와 기요시,일본,2021-03-25,드라마,,
반딧불이 딘딘과 용감한 곤충 탐험대,등위봉,중국,2021-03-25,애니메이션,,
원초적 본능,폴 버호벤,미국,2021-03-18,미스터리,,
실종: 사라진 사람들,스타니슬라브 카프랄로브,미국,2021-03-18,공포(호러),,
막주기로 소문난 도쿄새댁,존 류지,일본,2021-03-12,드라마,,
형수사용설명서,이상영,한국,2021-03-01,드라마,,
나는신혼너는재혼,이상영,한국,2021-03-01,드라마,,
킬러파티 (양수리 살인사건),김건,한국,2021-03-31,공연,,
출동! 시크릿 보틀 수호대,정연준,한국,2021-03-24,애니메이션,,
여선생4,최성은,한국,2021-03-10,드라마,,
음란한 며느리,,일본,2021-03-09,드라마,,
섹스솔루션,김호,한국,2021-03-09,드라마,,
스카이라인: 라스트 워,리암 오도넬,미국,2021-03-08,SF,,
프로젝트 마스,,러시아,2021-03-18,SF,,
사정의 불시착,최성은,한국,2021-03-04,드라마,,
바이러스 Z: 백신 대참사,이스라엘 루나,미국,2021-03-29,공포(호러),,
노 맨스 랜드,미카 라이언스,미국,2021-03-22,액션,,
300: 전사의 귀환,크리스토퍼 포브스,미국,2021-03-22,액션,,
남편의 초대남,최성은,한국,2021-03-09,드라마,,
루시드 드림,,홍콩,2021-03-02,판타지,,
땀샘터진 형수님,쇼텐 시로,일본,2021-03-02,드라마,,
남편의 관음 : 낯선 남자들,칸바라 나오토,일본,2021-03-02,드라마,,
주짓수,디미트리 로고데티스,미국,2021-03-01,액션,,
미션 파서블,김형주,한국,2021-02-17,코미디,434426.0,3964552760.0
이웃사촌,이환경,한국,2020-11-25,드라마,427141.0,3668929700.0
미스터 주: 사라진 VIP,김태윤,한국,2020-01-22,코미디,587819.0,4947984680.0
돌멩이,김정식,한국,2020-10-15,드라마,15970.0,134757400.0
특명: 스피드 레스큐,,홍콩,2021-03-29,액션,,
솔져스 리벤지,마이클 페이퍼,미국,2021-03-25,액션,,
디 아더 사이드,"오스카르 멜란데르, 토르드 다니엘손",기타,2021-03-25,공포(호러),,
고질라 VS. 콩,아담 윈가드,미국,2021-03-25,액션,698084.0,6722237990.0
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,카와구치 케이이치로,일본,2021-03-24,애니메이션,,
국카스텐 콘서트 실황 : 해프닝,,한국,2021-03-24,공연,,
큰엄마의 미친봉고,백승환,한국,2021-01-21,코미디,,
욕정의 며느리3,카즈마,일본,2020-12-10,드라마,,
기도하는 남자,강동헌,한국,2020-02-20,드라마,,
루비,박한진,한국,2020-07-30,드라마,,
남매의 여름밤,윤단비,한국,2020-08-20,드라마,15023.0,123008490.0
토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,한국,2021-01-27,다큐멘터리,7991.0,75326300.0
크루아상,조성규,한국,2021-01-21,드라마,,
"오늘, 우리 2","양재준, 이나연, 이준섭, 여장천",한국,2021-01-21,드라마,,
스매시 앤 그랩: 보석강도단 핑크 팬더,하바나 마킹,영국,2021-03-11,다큐멘터리,,
아일로,,프랑스,2021-03-18,다큐멘터리,,
더 킹: 독립 전쟁,미할 로사,폴란드,2021-03-18,전쟁,,
브레이브 언더 파이어,,러시아,2021-03-17,액션,9202.0,74615800.0
타이만,나카시마 타케시,일본,2021-03-16,액션,,
버스납치 리턴즈,후지와라 켄이치,일본,2021-03-16,코미디,,
포제서,브랜든 크로넨버그,캐나다,2021-03-11,스릴러,,
잔칫날,김록경,한국,2020-12-02,드라마,7073.0,56134850.0
부활,구수환,한국,2020-07-09,다큐멘터리,,
늑대와 빨간 재킷,뱅상 파로노,프랑스,2021-02-03,스릴러,,
내일도 우린 사랑하고 있을까,주남,중국,2021-03-11,드라마,,
더 터널,폴 외이,기타,2021-03-04,액션,,
미드나이트 스카이,조지 클루니,미국,2020-12-09,드라마,5094.0,44292400.0
렛 힘 고,토마스 베주차,미국,2020-11-05,범죄,,
웨이 다운,하우메 발라게로,스페인,2021-03-11,액션,9801.0,86858810.0
아이 씨 유,아담 랜달,영국,2021-03-11,스릴러,6985.0,65005110.0
리스타트,조 카나한,미국,2021-03-11,액션,38131.0,342245050.0
퍼펙트 케어,J 블레이크슨,미국,2021-02-19,범죄,21576.0,181249000.0
"구라, 베토벤",봉수,한국,2021-02-25,기타,,
게임의 법칙: 인간사냥,이수성,한국,2021-01-28,스릴러,,
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,일본,2020-10-22,애니메이션,60390.0,552036460.0
카오스 워킹,더그 라이만,미국,2021-02-24,어드벤처,138887.0,1164698860.0
간이역,김정민,한국,2021-02-18,드라마,,
라야와 마지막 드래곤,"돈 홀, 카를로스 로페즈 에스트라다",미국,2021-03-04,애니메이션,312814.0,2891566280.0
신패왕화 : 예스마담,레이 우,홍콩,2021-03-04,액션,,
람보-특별판,테드 코체프,미국,2021-03-04,액션,,
3개의 얼굴들,자파르 파나히,프랑스,2021-03-04,드라마,,
주세페 베르디의 '레퀴엠',리카르도 샤이,이탈리아,2021-03-02,공연,,
천사는 바이러스,김성준,한국,2021-01-06,드라마,,
열혈형사,윤여창,한국,2020-06-18,코미디,,
낙엽귀근,장양,중국,2020-09-24,코미디,,
후쿠오카,장률,한국,2020-08-27,드라마,,
프랑스여자,김희정,한국,2020-06-04,드라마,8548.0,65245420.0
럭키 몬스터,봉준영,한국,2020-12-03,드라마,,
욕창,심혜정,한국,2020-07-02,드라마,,
BBC프롬스: 그라치니테-틸라와 버밍엄 심포니,미르가 그라치니테-틸라,독일,2021-03-02,공연,,
노리개 가정부,최성은,한국,2021-02-26,드라마,,
더 허니문,,독일,2021-02-25,SF,,
잘세우는 도우미,최성은,한국,2021-02-23,드라마,,
우당탕탕 캠핑가족,,홍콩,2021-02-15,코미디,,
콩가루 모녀의 최후,이즈미 류지,일본,2021-02-10,드라마,,
레컨,,미국,2021-02-27,전쟁,,
방황하는 네덜란드인,,독일,2021-02-28,공연,,
365일: 비밀의 여자,,미국,2021-02-08,스릴러,,
캔디 위치,,미국,2021-02-08,공포(호러),,
무사: 400 vs 1,시모무라 유지,일본,2021-02-08,액션,,
홀리데이 헬,,미국,2021-02-03,공포(호러),,
아포칼립스: 최후의 날,,미국,2021-02-03,코미디,,
더 넌 : 돌아온 저주,토미 페어클로스,미국,2021-02-03,공포(호러),,
내 여자의 변태욕정 무삭제판,한길수,한국,2021-02-02,드라마,,
스마일 페이스 킬러,팀 헌터,미국,2021-02-04,공포(호러),,
당신이 기쁘다면 무삭제판,한동호,한국,2021-02-01,드라마,,
선샤인 패밀리,김태식,"한국,필리핀",2020-12-31,드라마,,
처제지만 괜찮아,최성은,한국,2021-02-19,드라마,,
잘빠진 과외선생,최성은,한국,2021-02-19,드라마,,
일론 머스크: 리얼 아이언맨,소니아 앤더슨,영국,2021-02-11,다큐멘터리,,
가정부의 유혹,최성은,한국,2021-02-04,드라마,,
BJ노는이모2,최성은,한국,2021-02-19,드라마,,
웰컴 투 X-월드,한태의,한국,2020-10-29,다큐멘터리,,
69세,임선애,한국,2020-08-20,드라마,,
헬렌: 내 영혼의 자화상,안티 조키넨,기타,2021-02-25,드라마,,
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,스에자와 케이,일본,2021-02-25,애니메이션,,
프리즈너,양길영,한국,2020-07-23,액션,,
스웨그,임성관,한국,2020-12-10,드라마,,
톰과 제리,팀 스토리,미국,2021-02-24,애니메이션,130666.0,1121569440.0
워 위드 그랜파,팀 힐,미국,2021-02-24,코미디,10379.0,83891230.0
리틀드래곤 코코넛2: 정글대탐험,안소니 파워,독일,2021-02-24,애니메이션,,
더 레이서,키에론 J 월쉬,기타,2021-02-24,드라마,10918.0,89406830.0
블랙페이스,야마가 타카유키,일본,2021-02-23,액션,,
드래곤블랙,이시카와 지로,일본,2021-02-23,액션,,
세트플레이,문승욱,한국,2020-12-10,드라마,,
낮손님,박세민,한국,2020-04-15,코미디,,
페어웰,룰루 왕,"미국,중국",2021-02-04,가족,7454.0,62637000.0
라스트 특공대,빈센트 페라스,"브라질,이탈리아,포르투갈",2021-02-18,전쟁,,
마리오네트,앨버트 반 스트리엔,네덜란드,2021-02-17,미스터리,5800.0,48043800.0
"이별유예, 일주일",김규현,한국,2020-12-09,드라마,,
바바 야가: 숲의 악령,스브야토슬라브 포드가에브스키,러시아,2021-02-18,공포(호러),,
시간의 끝에서 널 기다려,요정정,홍콩,2021-02-17,드라마,,
인투 더 미러,아이작 에즈반,캐나다,2021-02-17,SF,,
디지몬 어드벤처 : 라스트 에볼루션 인연,타구치 토모히사,일본,2021-02-17,애니메이션,,
용루각: 비정도시,최상훈,한국,2020-12-03,액션,,
어니스트 씨프,마크 윌리엄스,미국,2021-02-03,액션,76970.0,684328000.0
데스 오브 미,대런 린 보우즈만,기타,2021-02-05,공포(호러),,
황금화 : 엄마의 일기,,홍콩,2021-01-25,드라마,,
해브 어 나이스 데이,류건,중국,2021-01-25,애니메이션,,
이모네 미용실 문 닫는 날,에로핑,한국,2021-01-25,드라마,,
에이전트 미스터 찬,제프 청,중국,2021-01-25,코미디,,
여직원의 육체영업,,일본,2021-01-22,드라마,,
막나가는 남편후배,,일본,2021-01-22,드라마,,
기운센 시아버지,칸바라 나오토,일본,2021-01-22,드라마,,
금의위 3인의 무사,등연성,중국,2021-01-21,액션,,
인턴의 입사교육,,일본,2021-01-14,드라마,,
베이 오브 사일런스,파울라 반 데르 우에스트,영국,2021-01-14,미스터리,,
미소녀 파라다이스 베이글녀 마을,에로핑,한국,2021-01-12,드라마,,
파이널 리벤지,,터키,2021-01-09,전쟁,,
소녀 소리를 보는 소녀,에로핑,한국,2021-01-08,드라마,,
마녀 마음을 듣는 소녀,에로핑,한국,2021-01-08,드라마,,
온천장 붕가붕가,이즈미 류지,일본,2021-01-06,드라마,,
구멍청소부,,일본,2021-01-06,드라마,,
호라이즌 라인,마이클 마키마인,미국,2021-02-10,스릴러,,
ARKO LIVE 뮤지컬 시데레우스,,한국,2021-02-11,뮤지컬,,
로그시티,올리비에르 마샬,프랑스,2021-02-11,범죄,,
송가인 더 드라마,"이태슬, 김성윤",한국,2021-02-11,공연,11394.0,131325000.0
폴리스,앤 폰테인,프랑스,2021-02-10,드라마,,
엘프,우테 폰 뮌쇼폴,독일,2021-02-10,애니메이션,,
살아남은 사람들,버르너바시 토트,헝가리,2021-02-10,드라마,,
몬스터 헌터,폴 W.S. 앤더슨,미국,2021-02-10,액션,100210.0,955470450.0
스푸트닉,,러시아,2021-02-04,SF,,
100% 울프: 푸들이 될 순 없어,알렉스 스타더만,호주,2020-12-24,애니메이션,14781.0,117864080.0
데스 숏컷,,기타,2021-02-03,판타지,,
힐빌리의 노래,론 하워드,미국,2020-11-11,드라마,,
더 시크릿,유발 애들러,영국,2021-01-21,스릴러,,
맹크,데이빗 핀처,미국,2020-11-18,드라마,,
모추어리 컬렉션,,미국,2021-01-21,판타지,,
완벽한 가족,로저 미첼,미국,2021-01-06,드라마,5297.0,47697340.0
소울,피트 닥터,미국,2021-01-20,애니메이션,2036088.0,18920668890.0
뮤직 앤 리얼리티,"빅 포니, 스티브 리","한국,미국",2020-12-23,드라마,,
칙 파이트,폴 레이든,미국,2021-02-04,액션,,
어쌔신 게임,,미국,2021-02-04,범죄,,
알파 테스트,아론 머티스,미국,2021-02-04,SF,,
미드나잇 버스,,일본,2021-02-04,드라마,,
내겐 너무 어려운 연애,,이탈리아,2021-02-04,코미디,,
개 같은 것들,최종학,한국,2020-12-17,드라마,,
서바이브 더 나잇,맷 에스칸다리,미국,2021-02-03,액션,,
앙상블,정형석,한국,2020-11-05,드라마,,
BBC프롬스: 아르헤리치와 바렌보임 콘서트,다니엘 바렌보임,독일,2021-02-02,공연,,
내언니전지현과 나,박윤진,한국,2020-12-03,다큐멘터리,,
라스칼라 갈라 콘서트: 별들을 다시 보려고,리카르도 샤이,이탈리아,2021-02-01,공연,,
웬디고: 전설의 몬스터,,미국,2021-01-25,공포(호러),,
기기괴괴 성형수,조경훈,한국,2020-09-09,공포(호러),87463.0,779456800.0
사일런싱,,미국,2021-01-28,공포(호러),,
미스터 존스,아그네츠카 홀란드,폴란드,2021-01-07,드라마,5668.0,50834750.0
명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,일본,2021-01-27,애니메이션,54458.0,459905520.0
디노소어 어드벤쳐,,미국,2021-01-27,어드벤처,,
나이트 언데드,,미국,2021-01-27,미스터리,,
골든맨,빈센조 알피리,이탈리아,2021-01-27,범죄,,
국도극장: 감독판,전지희,한국,2020-05-29,드라마,,
사라진 시간,정진영,한국,2020-06-18,미스터리,185385.0,1649096880.0
라이어트: 기계들의 역습,,미국,2020-12-23,SF,,
파힘,피에르 프랑소와 마틴 라발,프랑스,2021-01-21,드라마,4701.0,35937300.0
제이티 르로이,,미국,2021-01-21,드라마,,
438일,예스퍼 갠스란트,기타,2021-01-21,드라마,,
커넥트,제이콥 체이스,미국,2021-01-20,공포(호러),11203.0,100639040.0
라스트 프론티어,,러시아,2021-01-14,전쟁,,
아이 엠 우먼,문은주,호주,2021-01-14,드라마,22918.0,186954270.0
다시 만난 날들,심찬양,한국,2020-09-24,뮤지컬,,
미스캡틴 : 섹시 히어로즈,악셀 브라운,미국,2021-01-14,액션,,
걸,루카스 돈트,독일,2021-01-07,드라마,3045.0,28537710.0
블라인드,타마르 반 덴 도프,네덜란드,2021-01-14,드라마,15594.0,138729200.0
버스납치,후카자와 요시후미,일본,2021-01-15,코미디,,
요가학원 : 죽음의 쿤달리니,"전재홍, 김지한",한국,2020-11-18,공포(호러),,
버든: 세상을 바꾸는 힘,앤드류 헤클러,미국,2020-11-25,드라마,,
나의 작은 동무,,기타,2021-01-14,드라마,,
누군가 어디에서 나를 기다리면 좋겠다,아르노 비야르,프랑스,2020-12-17,드라마,,
래시 컴 홈,올더디센 하노,독일,2021-01-07,가족,,
나이팅게일,제니퍼 켄트,호주,2020-12-30,스릴러,10620.0,86249740.0
탱크 투 베를린,,러시아,2020-12-23,액션,,
그날이 온다,크리스토퍼 모리스,영국,2020-12-09,코미디,,
사라센의 칼,임재영,한국,2021-01-14,드라마,,
빛의 아버지: 파이널 판타지 XIV,"노구치 테루오, 야마모토 키요시",일본,2021-01-14,드라마,,
애비규환,최하나,한국,2020-11-12,드라마,16154.0,148575910.0
테우리,이난,한국,2020-07-09,드라마,,
여름날,오정석,한국,2020-08-20,드라마,,
블러드하운드,제이슨 R. 밀러,미국,2021-01-07,미스터리,,
인플루언서,오영근,한국,2020-11-25,다큐멘터리,,
삼진그룹 영어토익반,이종필,한국,2020-10-21,드라마,1565712.0,13937434430.0
우리 안의 그들,"김태진, 송원준, 이진영",한국,2020-11-01,기타,,
빅풋 주니어2: 패밀리가 떴다,"벤 스타센, 제레미 드그루손",기타,2021-01-06,애니메이션,13524.0,112699280.0
도망친 여자,홍상수,한국,2020-09-17,드라마,4084.0,35445850.0
에듀케이션,김덕중,한국,2020-11-26,드라마,,
레전더리 콘서트: 레너드 번스타인,,독일,2021-01-03,공연,,
더러운아내 무삭제판,최정자,한국,2020-12-23,드라마,,
시진5,,미국,2020-12-15,공포(호러),,
발정난 동창,,일본,2020-12-10,드라마,,
계부의 욕정,사다오카 사다오,일본,2020-12-10,드라마,,
메가 블리자드,,미국,2020-12-07,공포(호러),,
노리개가 된 젊은 사모님,다테 류지,일본,2020-12-01,드라마,,
코벤,,미국,2020-12-10,공포(호러),,
죽고 싶은 인간들의 밤,숀 케인,미국,2020-12-21,공포(호러),,
스페셜 솔져,대니 레너,폴란드,2020-12-22,액션,,
로마-저항군의 탄생,,영국,2020-12-10,액션,,
런 런 런,,미국,2020-12-28,공포(호러),,
라이즈 오브 워리어 퀸: 부디카,,영국,2020-12-16,액션,,
돈 스피크,스콧 제프리,미국,2020-12-14,공포(호러),,
클라운 돌,스콧 제프리,미국,2020-12-23,공포(호러),,
전쟁,요크 샤클톤,미국,2020-12-30,액션,,
뱅가드,당계례,중국,2020-12-30,액션,28655.0,240577600.0
봉쇄수도원 카르투시오,김동일,한국,2020-11-19,다큐멘터리,,
추억의 검정고무신,송정율,한국,2020-11-19,애니메이션,17582.0,143923600.0
소리도 없이,홍의정,한국,2020-10-15,범죄,401693.0,3545044680.0
붉은 눈,,일본,2020-12-24,미스터리,,
남산의 부장들,우민호,한국,2020-01-22,드라마,4748005.0,41206628790.0
장마,"이용남, 음정현",한국,2020-02-27,다큐멘터리,,
작은 빛,조민재,한국,2020-01-23,드라마,,
이장,정승오,한국,2020-03-25,드라마,,
저 산 너머,최종태,한국,2020-04-30,드라마,93831.0,699868580.0
유령선,김지영,한국,2020-04-15,다큐멘터리,15591.0,139011300.0
정직한 후보,장유정,한국,2020-02-12,코미디,1529330.0,12794300850.0
야구소녀,최윤태,한국,2020-06-18,드라마,28388.0,245870140.0
악몽,송정우,한국,2020-03-12,미스터리,,
아홉 스님,윤성준,한국,2020-05-27,드라마,17249.0,105457800.0
아이즈 온 미 : 더 무비,박재석,한국,2020-06-10,공연,37743.0,487027000.0
