제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
뱅가드,,,2020-12-30,,28655,240577600
나이팅게일,,,2020-12-30,,10620,86249740
미스터 존스,,,2021-01-07,,5668,50834750
완벽한 가족,,,2021-01-06,,5297,47697340
빅풋 주니어2: 패밀리가 떴다,,,2021-01-06,,13524,112699280
걸,,,2021-01-07,,3045,28537710
아이 엠 우먼,,,2021-01-14,,22918,186954270
#아이엠히어,,,2021-01-14,,15667,130872640
블라인드,,,2021-01-14,,15594,138729200
늑대와 춤을,,,1991-03-31,,5898,51677820
마이 미씽 발렌타인,,,2021-01-14,,4782,38313570
소울,,,2021-01-20,,2036088,18920668890
커넥트,,,2021-01-20,,11203,100639040
극장판 귀멸의 칼날: 무한열차편,,,2021-01-27,,2171626,20849644460
파힘,,,2021-01-21,,4701,35937300
세자매,,,2021-01-27,,77288,655855300
명탐정 코난: 진홍의 수학여행,,,2021-01-27,,54458,459905520
북스마트,,,2021-01-27,,9435,58561900
토이 솔져스: 가짜사나이2 더 컴플리트,,,2021-01-27,,7991,75326300
나는 나를 해고하지 않는다,,,2021-01-28,,14410,113196990
어니스트 씨프,,,2021-02-03,,76970,684328000
해피 투게더,,,1998-08-22,,15790,140940120
페어웰,,,2021-02-04,,7454,62637000
스트레스 제로,,,2021-02-03,,5937,44535200
새해전야,,,2021-02-10,,163883,1513997220
몬스터 헌터,,,2021-02-10,,100210,955470450
아이,,,2021-02-10,,34330,278493070
드림빌더,,,2021-02-10,,14326,122221230
송가인 더 드라마 ,,,2021-02-11,,11394,131325000
미션 파서블,,,2021-02-17,,434426,3964552760
더블패티,,,2021-02-17,,11267,98118780
퍼펙트 케어,,,2021-02-19,,21576,181249000
마리오네트,,,2021-02-17,,5800,48043800
카오스 워킹,,,2021-02-24,,138887,1164698860
톰과 제리,,,2021-02-24,,130666,1121569440
고백,,,2021-02-24,,30453,215937000
워 위드 그랜파,,,2021-02-24,,10379,83891230
더 레이서,,,2021-02-24,,10918,89406830
미나리,,,2021-03-03,,1125428,10150199230
